name,rx,ry,x_sup,y_inf,lambda_xx0,y_slope,min_J1,min_J1_x,min_J1_y,min_J1_lambda_lower,min_J2,min_J2_x,min_J2_y,min_J2_lambda_lower,samples
old_eps_0p122,0.244,0.122,0.744,0.7440254037844386,36.2477175624982,75.17912990479658,1.2401700045442645,0.744,0.7440254037844386,45.419571410883385,1.5861201187179468,0.744,0.7440254037844386,45.419571410883385,801
coupled_linear_eps_0p152,0.30413129538405886,0.15206564769202943,0.8041312953840589,0.7139597560924091,36.2477175624982,75.17912990479658,0.0011258676819352331,0.8041312953840589,0.7139597560924091,47.679880644394316,0.5832643061133638,0.8041312953840589,0.7139597560924091,47.679880644394316,801
mid_top_narrow,0.0038733460138323716,0.12138206004643859,0.5038733460138324,0.744643343738,36.2477175624982,75.17912990479658,2.665107395440115,0.5038733460138324,0.744643343738,45.37311522284123,2.6902771711743902,0.5038733460138324,0.744643343738,45.37311522284123,801
signed_prev_y_0p8472,0.1878944815,0.018825403784438643,0.6878944815,0.8472,36.2477175624982,75.17912990479658,2.39678660406347,0.6878944815,0.8660254037844386,36.2477175624982,2.545066198799349,0.6878944815,0.8660254037844386,36.2477175624982,801
