name,rx,ry,x_sup,y_inf,min_residual,min_residual_x,min_residual_y,min_residual_lambda_xx,min_residual_lambda1,min_direct_J1,min_direct_J1_x,min_direct_J1_y,min_direct_J1_lambda_xx,min_direct_J1_lambda1,samples
old_eps_0p122,0.244,0.122,0.744,0.7440254037844386,0.0,0.5,0.8660254037844386,36.2477175624982,52.63789013914169,2.71566482778268,0.744,0.8660254037844386,37.66083709308685,53.72451251821583,41
coupled_linear_eps_0p152,0.30413129538405886,0.15206564769202943,0.8041312953840589,0.7139597560924091,0.0,0.5,0.8660254037844386,36.2477175624982,52.63789013914169,2.629332354420889,0.8041312953840589,0.8660254037844386,38.2821783191179,54.33209308919471,41
mid_top_narrow,0.0038733460138323716,0.12138206004643859,0.5038733460138324,0.744643343738,0.0,0.5,0.8660254037844386,36.2477175624982,52.63789013914169,2.8746896036185117,0.5038733460138324,0.8660254037844386,36.24812419823613,52.63816204844795,41
signed_prev_y_0p8472,0.1878944815,0.018825403784438643,0.6878944815,0.8472,0.0,0.5,0.8660254037844386,36.2477175624982,52.63789013914169,2.780076413252411,0.6878944815,0.8660254037844386,37.1328874605497,53.28047084604462,41
