i,x_inf,x_sup,theta_inf,theta_sup,mesh_size_upper,fem_order_upper,mesh_size_lower_cr,isLG,mesh_size_lower_LG,fem_order_lower_LG
49,0.5492187500000001,0.55,0.9202133315202656,0.920602853666512,0.002633,0.1249,0.04,1,0.1249,2
50,0.5492187500000001,0.55,0.920602853666512,0.9209923758127584,0.002633,0.1249,0.04,1,0.1249,2
51,0.546875,0.54765625,0.9209923758127584,0.9213818979590048,0.002633,0.1249,0.04,1,0.1249,2
52,0.546875,0.54765625,0.9213818979590048,0.9217714201052514,0.002633,0.1249,0.04,1,0.1249,2
53,0.54765625,0.5484375,0.9209923758127584,0.9213818979590048,0.002633,0.1249,0.04,1,0.1249,2
54,0.54765625,0.5484375,0.9213818979590048,0.9217714201052514,0.002633,0.1249,0.04,1,0.1249,2
55,0.546875,0.54765625,0.9217714201052514,0.9221609422514978,0.002633,0.1249,0.04,1,0.1249,2
56,0.546875,0.54765625,0.9221609422514978,0.9225504643977442,0.002633,0.1249,0.04,1,0.1249,2
57,0.54765625,0.5484375,0.9217714201052514,0.9221609422514978,0.002633,0.1249,0.04,1,0.1249,2
58,0.54765625,0.5484375,0.9221609422514978,0.9225504643977442,0.002633,0.1249,0.04,1,0.1249,2
59,0.5484375,0.5492187500000001,0.9209923758127584,0.9213818979590048,0.002633,0.1249,0.04,1,0.1249,2
60,0.5484375,0.5492187500000001,0.9213818979590048,0.9217714201052514,0.002633,0.1249,0.04,1,0.1249,2
61,0.5492187500000001,0.55,0.9209923758127584,0.9213818979590048,0.002633,0.1249,0.04,1,0.1249,2
62,0.5492187500000001,0.55,0.9213818979590048,0.9217714201052514,0.002633,0.1249,0.04,1,0.1249,2
63,0.5484375,0.5492187500000001,0.9217714201052514,0.9221609422514978,0.002633,0.1249,0.04,1,0.1249,2
64,0.5484375,0.5492187500000001,0.9221609422514978,0.9225504643977442,0.002633,0.1249,0.04,1,0.1249,2
65,0.5492187500000001,0.55,0.9217714201052514,0.9221609422514978,0.002633,0.1249,0.04,1,0.1249,2
66,0.5492187500000001,0.55,0.9221609422514978,0.9225504643977442,0.002633,0.1249,0.04,1,0.1249,2
67,0.52421875,0.525,0.9365732616626152,0.9369627838088616,0.002633,0.1249,0.04,1,0.1249,2
68,0.52421875,0.525,0.9369627838088616,0.937352305955108,0.002633,0.1249,0.04,1,0.1249,2
69,0.5234375,0.52421875,0.937352305955108,0.9377418281013544,0.002633,0.1249,0.04,1,0.1249,2
70,0.5234375,0.52421875,0.9377418281013544,0.9381313502476007,0.002633,0.1249,0.04,1,0.1249,2
71,0.52421875,0.525,0.937352305955108,0.9377418281013544,0.002633,0.1249,0.04,1,0.1249,2
72,0.52421875,0.525,0.9377418281013544,0.9381313502476007,0.002633,0.1249,0.04,1,0.1249,2
73,0.51953125,0.5203125000000001,0.9404684831250794,0.9408580052713258,0.002633,0.1249,0.04,1,0.1249,2
74,0.51953125,0.5203125000000001,0.9408580052713258,0.9412475274175722,0.002633,0.1249,0.04,1,0.1249,2
75,0.5203125000000001,0.5210937500000001,0.9396894388325864,0.9400789609788328,0.002633,0.1249,0.04,1,0.1249,2
76,0.5203125000000001,0.5210937500000001,0.9400789609788328,0.9404684831250794,0.002633,0.1249,0.04,1,0.1249,2
77,0.5210937500000001,0.5218750000000001,0.9396894388325864,0.9400789609788328,0.002633,0.1249,0.04,1,0.1249,2
78,0.5210937500000001,0.5218750000000001,0.9400789609788328,0.9404684831250794,0.002633,0.1249,0.04,1,0.1249,2
79,0.5203125000000001,0.5210937500000001,0.9404684831250794,0.9408580052713258,0.002633,0.1249,0.04,1,0.1249,2
80,0.5203125000000001,0.5210937500000001,0.9408580052713258,0.9412475274175722,0.002633,0.1249,0.04,1,0.1249,2
81,0.5210937500000001,0.5218750000000001,0.9404684831250794,0.9408580052713258,0.002633,0.1249,0.04,1,0.1249,2
82,0.5210937500000001,0.5218750000000001,0.9408580052713258,0.9412475274175722,0.002633,0.1249,0.04,1,0.1249,2
83,0.52265625,0.5234375,0.9381313502476007,0.9385208723938472,0.002633,0.1249,0.04,1,0.1249,2
84,0.52265625,0.5234375,0.9385208723938472,0.9389103945400936,0.002633,0.1249,0.04,1,0.1249,2
85,0.5218750000000001,0.52265625,0.9389103945400936,0.93929991668634,0.002633,0.1249,0.04,1,0.1249,2
86,0.5218750000000001,0.52265625,0.93929991668634,0.9396894388325864,0.002633,0.1249,0.04,1,0.1249,2
