shell_index,q,eigenvalue,multiplicity,mode_start,mode_end,complete_J,requested_max_J_cuts_shell,B_sq_shell,contribution,cumulative,fraction_of_last_cumulative,lambda_xx_finite_shell,parseval_contribution,parseval_cumulative,rigorous_flag
1,7,122.82174365800091,2,2,3,3,False,1016.7876275509501,14.487486459798763,14.487486459798763,0.8539551396854123,41.208880599257945,8.278563691313579,8.278563691313579,exploratory_double
2,12,210.55156055657298,1,4,4,4,False,3.5563852665716e-25,2.252107279357534e-27,14.487486459798763,0.8539551396854123,41.208880599257945,1.6890804595181506e-27,8.278563691313579,exploratory_double
3,13,228.0975239362874,2,5,6,6,False,318.86460000007946,1.8173103015177354,16.3047967613165,0.9610752724075846,37.57425999622247,1.3979310011674888,9.676494692481068,exploratory_double
4,19,333.37330421457386,2,7,8,8,False,65.88111570243967,0.23467333439000365,16.539470095706502,0.9749079341743822,37.10491332744247,0.19761965001263468,9.874114342493703,exploratory_double
5,21,368.46523097400274,2,9,10,10,False,4.28083768943924e-25,1.3554360677334816e-27,16.539470095706502,0.9749079341743822,37.10491332744247,1.1618023437715558e-27,9.874114342493703,exploratory_double
6,27,473.7410112522892,1,11,11,11,False,8.011876417558444e-25,1.902592504273018e-27,16.539470095706502,0.9749079341743822,37.10491332744247,1.6911933371315717e-27,9.874114342493703,exploratory_double
7,28,491.28697463200365,2,12,13,13,False,83.42151525043377,0.1901782499942538,16.729648345700756,0.9861178631354635,36.72455682745396,0.1698020089234409,10.043916351417144,exploratory_double
8,31,543.9248647711469,2,14,15,15,False,20.75076790919896,0.042237569853632355,16.77188591555439,0.9886075282657412,36.640081687746694,0.038150063093603415,10.082066414510747,exploratory_double
9,37,649.2006450494333,2,16,17,17,False,24.065979350286085,0.04034106915357979,16.81222698470797,0.9909854054385481,36.55939954943953,0.03707017165464089,10.119136586165387,exploratory_double
10,39,684.2925718088621,2,18,19,19,False,7.059189265584001e-25,1.1175709561629001e-27,16.81222698470797,0.9909854054385481,36.55939954943953,1.0316039595349848e-27,10.119136586165387,exploratory_double
11,43,754.4764253277199,2,20,21,21,False,2.0176091683896433,0.0028747483462810046,16.81510173305425,0.9911548555451914,36.553650052746974,0.0026741845081683763,10.121810770673555,exploratory_double
12,48,842.2062422262919,1,22,22,22,False,1.4834378687347132e-24,1.8787960090008502e-27,16.81510173305425,0.9911548555451914,36.553650052746974,1.761371258438297e-27,10.121810770673555,exploratory_double
13,49,859.7522056060063,2,23,24,24,False,40.67150510208616,0.050391257251533615,16.865492990305782,0.9941251342919267,36.45286753824391,0.0473060782361336,10.169116848909688,exploratory_double
14,52,912.3900957451496,2,25,26,26,False,14.72733480162862,0.017129743553548533,16.882622733859332,0.9951348354978357,36.41860805113681,0.01614148911776689,10.185258338027454,exploratory_double
15,57,1000.1199126437217,2,27,28,28,False,5.119019162496144e-27,5.402761256582478e-30,16.882622733859332,0.9951348354978357,36.41860805113681,5.1184054009728734e-30,10.185258338027454,exploratory_double
16,61,1070.3037661625792,2,29,30,30,False,12.822881516454018,0.012600286418721107,16.895223020278053,0.9958775509011344,36.393407478299366,0.011980600201406955,10.19723893822886,exploratory_double
17,63,1105.395692922008,2,31,32,32,False,9.51107579818638e-25,9.03443866485222e-28,16.895223020278053,0.9958775509011344,36.393407478299366,8.604227299859255e-28,10.19723893822886,exploratory_double
18,67,1175.579546440866,2,33,34,34,False,1.837447523112953,0.0016362804895531013,16.896859300767606,0.9959740003534184,36.39013491732026,0.0015630141989760966,10.198801952427836,exploratory_double
19,73,1280.8553267191523,2,35,36,36,False,0.11315921718998999,9.213288609961736e-05,16.896951433653705,0.9959794310643866,36.38995065154806,8.834660310922213e-05,10.198890299030944,exploratory_double
20,75,1315.9472534785812,1,37,37,37,False,2.2099759733851728e-24,1.74935454253526e-27,16.896951433653705,0.9959794310643866,36.38995065154806,1.6793803608338496e-27,10.198890299030944,exploratory_double
21,76,1333.4932168582955,2,38,39,39,False,24.487763752624996,0.01911829013144615,16.91606972378515,0.9971063458100913,36.35171407128517,0.01836362078415222,10.217253919815096,exploratory_double
22,79,1386.1311069974388,2,40,41,41,False,10.16787627550201,0.007624992873572679,16.923694716658723,0.9975557958836097,36.336464085538026,0.007335436182171184,10.224589355997267,exploratory_double
23,84,1473.860923896011,2,42,43,43,False,5.558102596740508e-27,3.910788429911802e-30,16.923694716658723,0.9975557958836097,36.336464085538026,3.7711174145578085e-30,10.224589355997267,exploratory_double
24,91,1596.6826675540117,4,44,47,47,False,8.105500771140392,0.005249524424227582,16.92894424108295,0.9978652255680074,36.325965036689574,0.005076463179472826,10.22966581917674,exploratory_double
25,93,1631.7745943134405,2,48,49,49,False,1.5435155094475347e-24,9.774426149220638e-28,16.92894424108295,0.9978652255680074,36.325965036689574,9.45912207989094e-28,10.22966581917674,exploratory_double
26,97,1701.9584478322984,2,50,51,51,False,1.4247646129446296,0.0008638494235089123,16.92980809050646,0.9979161445909288,36.324237337842554,0.0008371324310292551,10.230502951607768,exploratory_double
27,103,1807.2342281105848,2,52,53,53,False,0.14195826713250473,8.090651055195312e-05,16.92988899701701,0.9979209135707453,36.32407552482145,7.855001024461467e-05,10.230581501618012,exploratory_double
28,108,1894.9640450091567,1,54,54,54,False,3.028142856412796e-24,1.6436518845526834e-27,16.92988899701701,0.9979209135707453,36.32407552482145,1.5979948877595531e-27,10.230581501618012,exploratory_double
29,109,1912.5100083888713,2,55,56,56,False,16.47027892566202,0.008855597524179094,16.938744594541188,0.9984429008072299,36.306364329773096,0.008611865482229211,10.239193367100242,exploratory_double
30,111,1947.6019351483,2,57,58,58,False,4.469027283252056e-28,2.3583704899427055e-31,16.938744594541188,0.9984429008072299,36.306364329773096,2.294630746971281e-31,10.239193367100242,exploratory_double
31,112,1965.1478985280146,2,59,60,60,False,7.315815072712575,0.003825242765069519,16.94256983730626,0.9986683771677318,36.298713844242954,0.003722780905290871,10.242916148005532,exploratory_double
32,117,2052.8777154265867,2,61,62,62,False,1.7764568313748913e-26,8.881219186402343e-30,16.94256983730626,0.9986683771677318,36.298713844242954,8.653495617520232e-30,10.242916148005532,exploratory_double
33,124,2175.6994590845875,2,63,64,64,False,0.0547230687496277,2.577554487824366e-05,16.942595612851136,0.9986698964898784,36.2986622931532,2.515194298602809e-05,10.242941299948518,exploratory_double
34,127,2228.3373492237306,2,65,66,66,False,5.57583920591425,0.0025627800671790633,16.945158392918316,0.9988209578362565,36.29353673301884,0.002502241955355936,10.245443541903873,exploratory_double
