J,cluster_complete,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,abs_lambda_xxx_finite,M_xxx_norm,ratio_xxx,abs_lambda_xxy_finite,M_xxy_norm,ratio_xxy,rigorous_flag
30,True,36.393407478299366,7.308099379506683e-13,-75.02124572679011,7.308099379506683e-13,1513.227076542765,2070616446166762.5,75.02124572679011,1929.4845334807262,25.719174812258636,exploratory_double
50,False,36.324237337842554,7.681899755200245e-13,-75.11380355421718,7.681899755200245e-13,1514.2689481483148,1971216751589649.0,75.11380355421718,1930.6040290806397,25.702386748224363,exploratory_double
100,False,36.27540007259375,6.882875780575178e-13,-75.15885636074067,6.882875780575178e-13,1514.9912266937772,2201102090160306.0,75.15885636074067,1931.394082846672,25.697491637932085,exploratory_double
200,False,36.25280331265571,6.190176925906037e-13,-75.17105008775113,6.190176925906037e-13,1515.3205182230236,2447943792820155.5,75.17105008775113,1931.7501185493202,25.69805950953574,exploratory_double
