J,M,D_J,N_M,G_norm_sq,dirichlet_residual,combined_residual,D_fraction,N_fraction,combined_fraction,rigorous_flag
30,5,10.197238938228862,34.49333401720883,70.18385351885578,59.98661458062692,25.49328056341809,0.1452932323741563,0.4914710761491852,0.6367643085233415,exploratory_double
30,6,10.197238938228862,34.49333401720883,70.18385351885578,59.98661458062692,25.49328056341809,0.1452932323741563,0.4914710761491852,0.6367643085233415,exploratory_double
30,7,10.197238938228862,47.31522797137836,70.18385351885578,59.98661458062692,12.671386609248557,0.1452932323741563,0.674161158145392,0.8194543905195484,exploratory_double
30,8,10.197238938228862,47.31522797137836,70.18385351885578,59.98661458062692,12.671386609248557,0.1452932323741563,0.674161158145392,0.8194543905195484,exploratory_double
30,9,10.197238938228862,47.31522797137836,70.18385351885578,59.98661458062692,12.671386609248557,0.1452932323741563,0.674161158145392,0.8194543905195484,exploratory_double
30,10,10.197238938228862,47.31522797137836,70.18385351885578,59.98661458062692,12.671386609248557,0.1452932323741563,0.674161158145392,0.8194543905195484,exploratory_double
49,5,10.229665819176745,34.49333401720883,70.18385351885578,59.95418769967904,25.46085368247021,0.14575526002470662,0.4914710761491852,0.6372263361738918,exploratory_double
49,6,10.229665819176745,34.49333401720883,70.18385351885578,59.95418769967904,25.46085368247021,0.14575526002470662,0.4914710761491852,0.6372263361738918,exploratory_double
49,7,10.229665819176745,47.31522797137836,70.18385351885578,59.95418769967904,12.638959728300676,0.14575526002470662,0.674161158145392,0.8199164181700986,exploratory_double
49,8,10.229665819176745,47.31522797137836,70.18385351885578,59.95418769967904,12.638959728300676,0.14575526002470662,0.674161158145392,0.8199164181700986,exploratory_double
49,9,10.229665819176745,47.31522797137836,70.18385351885578,59.95418769967904,12.638959728300676,0.14575526002470662,0.674161158145392,0.8199164181700986,exploratory_double
49,10,10.229665819176745,47.31522797137836,70.18385351885578,59.95418769967904,12.638959728300676,0.14575526002470662,0.674161158145392,0.8199164181700986,exploratory_double
51,5,10.230502951607773,34.49333401720883,70.18385351885578,59.95335056724801,25.460016550039178,0.1457671877315659,0.4914710761491852,0.6372382638807511,exploratory_double
51,6,10.230502951607773,34.49333401720883,70.18385351885578,59.95335056724801,25.460016550039178,0.1457671877315659,0.4914710761491852,0.6372382638807511,exploratory_double
51,7,10.230502951607773,47.31522797137836,70.18385351885578,59.95335056724801,12.638122595869646,0.1457671877315659,0.674161158145392,0.819928345876958,exploratory_double
51,8,10.230502951607773,47.31522797137836,70.18385351885578,59.95335056724801,12.638122595869646,0.1457671877315659,0.674161158145392,0.819928345876958,exploratory_double
51,9,10.230502951607773,47.31522797137836,70.18385351885578,59.95335056724801,12.638122595869646,0.1457671877315659,0.674161158145392,0.819928345876958,exploratory_double
51,10,10.230502951607773,47.31522797137836,70.18385351885578,59.95335056724801,12.638122595869646,0.1457671877315659,0.674161158145392,0.819928345876958,exploratory_double
99,5,10.254332340881692,34.49333401720883,70.18385351885578,59.929521177974095,25.436187160765257,0.14610671581500917,0.4914710761491852,0.6375777919641944,exploratory_double
99,6,10.254332340881692,34.49333401720883,70.18385351885578,59.929521177974095,25.436187160765257,0.14610671581500917,0.4914710761491852,0.6375777919641944,exploratory_double
99,7,10.254332340881692,47.31522797137836,70.18385351885578,59.929521177974095,12.614293206595732,0.14610671581500917,0.674161158145392,0.8202678739604011,exploratory_double
99,8,10.254332340881692,47.31522797137836,70.18385351885578,59.929521177974095,12.614293206595732,0.14610671581500917,0.674161158145392,0.8202678739604011,exploratory_double
99,9,10.254332340881692,47.31522797137836,70.18385351885578,59.929521177974095,12.614293206595732,0.14610671581500917,0.674161158145392,0.8202678739604011,exploratory_double
99,10,10.254332340881692,47.31522797137836,70.18385351885578,59.929521177974095,12.614293206595732,0.14610671581500917,0.674161158145392,0.8202678739604011,exploratory_double
101,5,10.254332340881692,34.49333401720883,70.18385351885578,59.929521177974095,25.436187160765257,0.14610671581500917,0.4914710761491852,0.6375777919641944,exploratory_double
101,6,10.254332340881692,34.49333401720883,70.18385351885578,59.929521177974095,25.436187160765257,0.14610671581500917,0.4914710761491852,0.6375777919641944,exploratory_double
101,7,10.254332340881692,47.31522797137836,70.18385351885578,59.929521177974095,12.614293206595732,0.14610671581500917,0.674161158145392,0.8202678739604011,exploratory_double
101,8,10.254332340881692,47.31522797137836,70.18385351885578,59.929521177974095,12.614293206595732,0.14610671581500917,0.674161158145392,0.8202678739604011,exploratory_double
101,9,10.254332340881692,47.31522797137836,70.18385351885578,59.929521177974095,12.614293206595732,0.14610671581500917,0.674161158145392,0.8202678739604011,exploratory_double
101,10,10.254332340881692,47.31522797137836,70.18385351885578,59.929521177974095,12.614293206595732,0.14610671581500917,0.674161158145392,0.8202678739604011,exploratory_double
199,5,10.264397047511384,34.49333401720883,70.18385351885578,59.919456471344404,25.426122454135566,0.14625012068842477,0.4914710761491852,0.63772119683761,exploratory_double
199,6,10.264397047511384,34.49333401720883,70.18385351885578,59.919456471344404,25.426122454135566,0.14625012068842477,0.4914710761491852,0.63772119683761,exploratory_double
199,7,10.264397047511384,47.31522797137836,70.18385351885578,59.919456471344404,12.604228499966041,0.14625012068842477,0.674161158145392,0.8204112788338167,exploratory_double
199,8,10.264397047511384,47.31522797137836,70.18385351885578,59.919456471344404,12.604228499966041,0.14625012068842477,0.674161158145392,0.8204112788338167,exploratory_double
199,9,10.264397047511384,47.31522797137836,70.18385351885578,59.919456471344404,12.604228499966041,0.14625012068842477,0.674161158145392,0.8204112788338167,exploratory_double
199,10,10.264397047511384,47.31522797137836,70.18385351885578,59.919456471344404,12.604228499966041,0.14625012068842477,0.674161158145392,0.8204112788338167,exploratory_double
203,5,10.265127366692841,34.49333401720883,70.18385351885578,59.91872615216295,25.42539213495411,0.14626052648897347,0.4914710761491852,0.6377316026381588,exploratory_double
