model,J,M,M_cluster_complete,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,lambda_xx_tail_energy,lambda_xx_tail_bound,old_dirichlet_tail_energy,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
norm_bound,30,,,tail_ignored,x_only,0.004480818232607034,0.0,0.004480818232607034,29.612912003651907,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.82128178817456,-12.822767037597844,0.0014852494232862057,1.7763568394002505e-15,True,True,exploratory_double
norm_bound,30,,,tail_ignored,y_only,0.0,0.003408230787800825,0.003408230787800825,29.817278886704845,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.858890500210748,-12.860448409850832,0.0015579096400859527,1.7763568394002505e-15,True,True,exploratory_double
norm_bound,30,,,tail_ignored,omega_up,0.00396025395546882,0.000396025395546882,0.0039800059680513665,29.63651908732507,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.825616797669895,-12.827120797585861,0.0015039999159682793,1.7763568394002505e-15,True,True,exploratory_double
norm_bound,30,,,tail_ignored,square,0.0019359010291645216,0.0019359010291645216,0.002737777490856499,29.728658529338244,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.842559661689005,-12.844110883098608,0.0015512214096045085,1.7763568394002505e-15,True,True,exploratory_double
norm_bound,30,5,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
norm_bound,30,5,True,neumann_corrected_tail,y_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
norm_bound,30,5,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
norm_bound,30,5,True,neumann_corrected_tail,square,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
norm_bound,30,6,False,neumann_corrected_tail,x_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
norm_bound,30,6,False,neumann_corrected_tail,y_only,0.0,0.0,0.0,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.820992204969132,-12.822561881283685,-20.243904525136564,-20.245474201451117,False,True,exploratory_double
