conjecture,step,m,y_lo_inf,y_hi_sup,L_lower,ok,min_so_far,run_timestamp
J2,1-3,200,0.86542540378443845,0.86602540378443871,5.09498249572165208e+00,1,5.09498249572165208e+00,2026-03-12 00:25:57
J2,1-3,199,0.8648254037844384,0.86542540378443889,5.08936176661351248e+00,1,5.08936176661351248e+00,2026-03-12 00:26:22
J2,1-3,198,0.86422540378443847,0.86482540378443884,5.08619074781676517e+00,1,5.08619074781676517e+00,2026-03-12 00:26:46
J2,1-3,197,0.86362540378443842,0.86422540378443891,5.08003316715619136e+00,1,5.08003316715619136e+00,2026-03-12 00:27:08
J2,1-3,196,0.86302540378443849,0.86362540378443887,5.07728793858244210e+00,1,5.07728793858244210e+00,2026-03-12 00:27:31
J2,1-3,195,0.86242540378443844,0.86302540378443893,5.06770656412166965e+00,1,5.06770656412166965e+00,2026-03-12 00:27:54
J2,1-3,194,0.8618254037844384,0.86242540378443889,5.11195589574775689e+00,1,5.06770656412166965e+00,2026-03-12 00:28:17
J2,1-3,193,0.86122540378443846,0.86182540378443884,5.07552057888273467e+00,1,5.06770656412166965e+00,2026-03-12 00:28:43
J2,1-3,192,0.86062540378443842,0.86122540378443891,5.12200585005476583e+00,1,5.06770656412166965e+00,2026-03-12 00:29:08
J2,1-3,191,0.86002540378443849,0.86062540378443886,5.06811016922336144e+00,1,5.06770656412166965e+00,2026-03-12 00:29:33
J2,1-3,190,0.85942540378443844,0.86002540378443893,5.10565978752148553e+00,1,5.06770656412166965e+00,2026-03-12 00:30:00
J2,1-3,189,0.8588254037844384,0.85942540378443888,5.05647505873796100e+00,1,5.05647505873796100e+00,2026-03-12 00:30:27
J2,1-3,188,0.85822540378443846,0.85882540378443884,5.10038921621392305e+00,1,5.05647505873796100e+00,2026-03-12 00:30:52
J2,1-3,187,0.85762540378443842,0.85822540378443891,5.04365786884054046e+00,1,5.04365786884054046e+00,2026-03-12 00:31:18
J2,1-3,186,0.85702540378443848,0.85762540378443886,5.09493105193572405e+00,1,5.04365786884054046e+00,2026-03-12 00:31:43
J2,1-3,185,0.85642540378443844,0.85702540378443893,5.03352477489340267e+00,1,5.03352477489340267e+00,2026-03-12 00:32:09
J2,1-3,184,0.85582540378443839,0.85642540378443888,5.03100230337076404e+00,1,5.03100230337076404e+00,2026-03-12 00:32:36
J2,1-3,183,0.85522540378443846,0.85582540378443884,5.02516881050986620e+00,1,5.02516881050986620e+00,2026-03-12 00:33:00
J2,1-3,182,0.85462540378443841,0.8552254037844389,4.27704580177776883e+00,1,4.27704580177776883e+00,2026-03-12 00:33:24
J2,1-3,181,0.85402540378443848,0.85462540378443886,4.32031488345532822e+00,1,4.27704580177776883e+00,2026-03-12 00:33:49
J2,1-3,180,0.85342540378443843,0.85402540378443881,4.30987869103956456e+00,1,4.27704580177776883e+00,2026-03-12 00:34:14
J2,1-3,179,0.85282540378443839,0.85342540378443888,4.27514955721287749e+00,1,4.27514955721287749e+00,2026-03-12 00:34:40
J2,1-3,178,0.85222540378443846,0.85282540378443883,4.26706773245964044e+00,1,4.26706773245964044e+00,2026-03-12 00:35:07
J2,1-3,177,0.85162540378443841,0.8522254037844389,4.26505737375160088e+00,1,4.26505737375160088e+00,2026-03-12 00:35:32
J2,1-3,176,0.85102540378443848,0.85162540378443886,4.25907831525820946e+00,1,4.25907831525820946e+00,2026-03-12 00:35:57
J2,1-3,175,0.85042540378443843,0.85102540378443892,4.27141373242903022e+00,1,4.25907831525820946e+00,2026-03-12 00:36:23
J2,1-3,174,0.84982540378443839,0.85042540378443888,4.23901306295239345e+00,1,4.23901306295239345e+00,2026-03-12 00:36:47
J2,1-3,173,0.84922540378443845,0.84982540378443883,4.23060264670900033e+00,1,4.23060264670900033e+00,2026-03-12 00:37:14
J2,1-3,172,0.84862540378443841,0.8492254037844389,4.22432766020796536e+00,1,4.22432766020796536e+00,2026-03-12 00:37:41
J2,1-3,171,0.84802540378443847,0.84862540378443885,4.24070494521420294e+00,1,4.22432766020796536e+00,2026-03-12 00:38:06
J2,1-3,170,0.84742540378443843,0.84802540378443892,4.20884594188585127e+00,1,4.20884594188585127e+00,2026-03-12 00:38:31
J2,1-3,169,0.8468254037844385,0.84742540378443887,4.22329405584156703e+00,1,4.20884594188585127e+00,2026-03-12 00:38:56
J2,1-3,168,0.84622540378443845,0.84682540378443883,4.19027441167607507e+00,1,4.19027441167607507e+00,2026-03-12 00:39:21
J2,1-3,167,0.84562540378443841,0.84622540378443889,4.21024730362210598e+00,1,4.19027441167607507e+00,2026-03-12 00:39:46
J2,1-3,166,0.84502540378443847,0.84562540378443885,4.20314064229941842e+00,1,4.19027441167607507e+00,2026-03-12 00:40:11
J2,1-3,165,0.84442540378443843,0.84502540378443892,4.16668319533672360e+00,1,4.16668319533672360e+00,2026-03-12 00:40:36
J2,1-3,164,0.84382540378443849,0.84442540378443887,4.19018018360113942e+00,1,4.16668319533672360e+00,2026-03-12 00:41:01
J2,1-3,163,0.84322540378443845,0.84382540378443883,4.15287274351210734e+00,1,4.15287274351210734e+00,2026-03-12 00:41:26
J2,1-3,162,0.8426254037844384,0.84322540378443889,4.17126465844181916e+00,1,4.15287274351210734e+00,2026-03-12 00:41:54
J2,1-3,161,0.84202540378443847,0.84262540378443885,4.18493909278898358e+00,1,4.15287274351210734e+00,2026-03-12 00:42:22
J2,1-3,160,0.84142540378443842,0.8420254037844388,4.13068875308615092e+00,1,4.13068875308615092e+00,2026-03-12 00:42:50
J2,1-3,159,0.84082540378443849,0.84142540378443887,4.14523679535706969e+00,1,4.13068875308615092e+00,2026-03-12 00:43:17
J2,1-3,158,0.84022540378443845,0.84082540378443882,4.13410079646715190e+00,1,4.13068875308615092e+00,2026-03-12 00:43:46
J2,1-3,157,0.83962540378443851,0.84022540378443889,4.15804362740833078e+00,1,4.13068875308615092e+00,2026-03-12 00:44:14
J2,1-3,156,0.83902540378443847,0.83962540378443884,4.08950541950717117e+00,1,4.08950541950717117e+00,2026-03-12 00:44:41
J2,1-3,155,0.83842540378443842,0.83902540378443891,4.08238170455703831e+00,1,4.08238170455703831e+00,2026-03-12 00:45:06
J2,1-3,154,0.83782540378443849,0.83842540378443887,4.13150542240931174e+00,1,4.08238170455703831e+00,2026-03-12 00:45:32
J2,1-3,153,0.83722540378443844,0.83782540378443882,4.09289866656087398e+00,1,4.08238170455703831e+00,2026-03-12 00:45:58
J2,1-3,152,0.8366254037844384,0.83722540378443889,4.06072708775191771e+00,1,4.06072708775191771e+00,2026-03-12 00:46:25
J2,1-3,151,0.83602540378443846,0.83662540378443884,4.04934418312689815e+00,1,4.04934418312689815e+00,2026-03-12 00:46:51
J2,1-3,150,0.83542540378443842,0.83602540378443891,4.04189055068851744e+00,1,4.04189055068851744e+00,2026-03-12 00:47:17
J2,1-3,149,0.83482540378443849,0.83542540378443886,4.08686159901379576e+00,1,4.04189055068851744e+00,2026-03-12 00:47:42
J2,1-3,148,0.83422540378443844,0.83482540378443882,4.05494428997860724e+00,1,4.04189055068851744e+00,2026-03-12 00:48:07
J2,1-3,147,0.83362540378443851,0.83422540378443888,4.04145981581000946e+00,1,4.04145981581000946e+00,2026-03-12 00:48:32
J2,1-3,146,0.83302540378443846,0.83362540378443884,4.00559595961027526e+00,1,4.00559595961027526e+00,2026-03-12 00:48:57
J2,1-3,145,0.83242540378443842,0.83302540378443891,3.99963013441444560e+00,1,3.99963013441444560e+00,2026-03-12 00:49:23
J2,1-3,144,0.83182540378443848,0.83242540378443886,4.04208124087277732e+00,1,3.99963013441444560e+00,2026-03-12 00:49:48
J2,1-3,143,0.83122540378443844,0.83182540378443882,3.97551428144394948e+00,1,3.97551428144394948e+00,2026-03-12 00:50:14
J2,1-3,142,0.8306254037844385,0.83122540378443888,3.99053472243557473e+00,1,3.97551428144394948e+00,2026-03-12 00:50:40
J2,1-3,141,0.83002540378443846,0.83062540378443884,4.01012520037775211e+00,1,3.97551428144394948e+00,2026-03-12 00:51:05
J2,1-3,140,0.82942540378443841,0.83002540378443879,3.97528134268227973e+00,1,3.97528134268227973e+00,2026-03-12 00:51:31
J2,1-3,139,0.82882540378443848,0.82942540378443886,3.99038515574545727e+00,1,3.97528134268227973e+00,2026-03-12 00:51:56
J2,1-3,138,0.82822540378443843,0.82882540378443881,3.92970329083991566e+00,1,3.92970329083991566e+00,2026-03-12 00:52:21
J2,1-3,137,0.8276254037844385,0.82822540378443888,3.94809635128041059e+00,1,3.92970329083991566e+00,2026-03-12 00:52:46
J2,1-3,136,0.82702540378443846,0.82762540378443883,3.91063364802985092e+00,1,3.91063364802985092e+00,2026-03-12 00:53:11
J2,1-3,135,0.82642540378443852,0.8270254037844389,3.95692394788651214e+00,1,3.91063364802985092e+00,2026-03-12 00:53:37
J2,1-3,134,0.82582540378443848,0.82642540378443886,3.91919097957342722e+00,1,3.91063364802985092e+00,2026-03-12 00:54:03
J2,1-3,133,0.82522540378443843,0.82582540378443881,3.88518026314104326e+00,1,3.88518026314104326e+00,2026-03-12 00:54:29
J2,1-3,132,0.8246254037844385,0.82522540378443888,4.13025264555802885e+00,1,3.88518026314104326e+00,2026-03-12 00:54:54
J2,1-3,131,0.82402540378443845,0.82462540378443883,4.15259732457881726e+00,1,3.88518026314104326e+00,2026-03-12 00:55:22
J2,1-3,130,0.82342540378443852,0.82402540378443879,4.11242194406190543e+00,1,3.88518026314104326e+00,2026-03-12 00:55:49
J2,1-3,129,0.82282540378443847,0.82342540378443885,4.13378235140263684e+00,1,3.88518026314104326e+00,2026-03-12 00:56:16
J2,1-3,128,0.82222540378443843,0.82282540378443881,4.06643387446128380e+00,1,3.88518026314104326e+00,2026-03-12 00:56:42
J2,1-3,127,0.8216254037844385,0.82222540378443887,4.11461808291698539e+00,1,3.88518026314104326e+00,2026-03-12 00:57:11
J2,1-3,126,0.82102540378443845,0.82162540378443883,4.04835759431642650e+00,1,3.88518026314104326e+00,2026-03-12 00:57:42
J2,1-3,125,0.82042540378443852,0.82102540378443889,4.06545436190473275e+00,1,3.88518026314104326e+00,2026-03-12 00:58:11
J2,1-3,124,0.81982540378443847,0.82042540378443885,4.06279976176850611e+00,1,3.88518026314104326e+00,2026-03-12 00:58:37
J2,1-3,123,0.81922540378443843,0.8198254037844388,4.02559800848850636e+00,1,3.88518026314104326e+00,2026-03-12 00:59:07
J2,1-3,122,0.81862540378443849,0.81922540378443887,4.07121628183912244e+00,1,3.88518026314104326e+00,2026-03-12 00:59:40
J2,1-3,121,0.81802540378443845,0.81862540378443883,4.03018454465736831e+00,1,3.88518026314104326e+00,2026-03-12 01:00:08
J2,1-3,120,0.81742540378443851,0.81802540378443878,4.04610703724232402e+00,1,3.88518026314104326e+00,2026-03-12 01:00:34
J2,1-3,119,0.81682540378443847,0.81742540378443885,4.01473814004205388e+00,1,3.88518026314104326e+00,2026-03-12 01:01:00
J2,1-3,118,0.81622540378443842,0.8168254037844388,4.00245970424502851e+00,1,3.88518026314104326e+00,2026-03-12 01:01:25
J2,1-3,117,0.81562540378443849,0.81622540378443887,3.99807580539657437e+00,1,3.88518026314104326e+00,2026-03-12 01:01:49
J2,1-3,116,0.81502540378443845,0.81562540378443882,3.95679764727466399e+00,1,3.88518026314104326e+00,2026-03-12 01:02:14
J2,1-3,115,0.81442540378443851,0.81502540378443889,3.97377454746108683e+00,1,3.88518026314104326e+00,2026-03-12 01:02:42
J2,1-3,114,0.81382540378443847,0.81442540378443884,3.99105885693780671e+00,1,3.88518026314104326e+00,2026-03-12 01:03:09
J2,1-3,113,0.81322540378443853,0.8138254037844388,3.95092128909259444e+00,1,3.88518026314104326e+00,2026-03-12 01:03:39
J2,1-3,112,0.81262540378443849,0.81322540378443887,3.94245088345176243e+00,1,3.88518026314104326e+00,2026-03-12 01:04:06
J2,1-3,111,0.81202540378443844,0.81262540378443882,3.93550089266456383e+00,1,3.88518026314104326e+00,2026-03-12 01:04:32
J2,1-3,110,0.81142540378443851,0.81202540378443878,3.92765058885015606e+00,1,3.88518026314104326e+00,2026-03-12 01:05:04
J2,1-3,109,0.81082540378443846,0.81142540378443884,3.94623820144876625e+00,1,3.88518026314104326e+00,2026-03-12 01:05:31
J2,1-3,108,0.81022540378443853,0.8108254037844388,3.90502414808347532e+00,1,3.88518026314104326e+00,2026-03-12 01:05:58
J2,1-3,107,0.80962540378443848,0.81022540378443886,3.92404591216892840e+00,1,3.88518026314104326e+00,2026-03-12 01:06:31
J2,1-3,106,0.80902540378443844,0.80962540378443882,3.85659269174879782e+00,1,3.85659269174879782e+00,2026-03-12 01:06:59
J2,1-3,105,0.80842540378443851,0.80902540378443888,3.89687800459579137e+00,1,3.85659269174879782e+00,2026-03-12 01:07:27
J2,1-3,104,0.80782540378443846,0.80842540378443884,3.86433901359225729e+00,1,3.85659269174879782e+00,2026-03-12 01:07:54
J2,1-3,103,0.80722540378443853,0.80782540378443879,3.84884324152846347e+00,1,3.84884324152846347e+00,2026-03-12 01:08:21
J2,1-3,102,0.80662540378443848,0.80722540378443886,3.84155216958508206e+00,1,3.84155216958508206e+00,2026-03-12 01:08:48
J2,1-3,101,0.80602540378443844,0.80662540378443882,3.85858983258684063e+00,1,3.84155216958508206e+00,2026-03-12 01:09:15
J2,1-3,100,0.8054254037844385,0.80602540378443877,3.84797608261077429e+00,1,3.84155216958508206e+00,2026-03-12 01:09:40
J2,1-3,99,0.80482540378443846,0.80542540378443884,3.80778173459236769e+00,1,3.80778173459236769e+00,2026-03-12 01:10:08
J2,1-3,98,0.80422540378443852,0.80482540378443879,3.82224544760877194e+00,1,3.80778173459236769e+00,2026-03-12 01:10:35
J2,1-3,97,0.80362540378443848,0.80422540378443886,3.78723778091604402e+00,1,3.78723778091604402e+00,2026-03-12 01:11:05
J2,1-3,96,0.80302540378443855,0.80362540378443881,3.80332781219026828e+00,1,3.78723778091604402e+00,2026-03-12 01:11:33
J2,1-3,95,0.8024254037844385,0.80302540378443888,3.76356837641259290e+00,1,3.76356837641259290e+00,2026-03-12 01:12:01
J2,1-3,94,0.80182540378443846,0.80242540378443883,3.77949922812463513e+00,1,3.76356837641259290e+00,2026-03-12 01:12:29
J2,1-3,93,0.80122540378443852,0.80182540378443879,3.74041159447554606e+00,1,3.74041159447554606e+00,2026-03-12 01:12:58
J2,1-3,92,0.80062540378443848,0.80122540378443885,3.75342546390872656e+00,1,3.74041159447554606e+00,2026-03-12 01:13:23
J2,1-3,91,0.80002540378443854,0.80062540378443881,3.77297173732325320e+00,1,3.74041159447554606e+00,2026-03-12 01:13:50
J2,1-3,90,0.7994254037844385,0.80002540378443877,3.70628690047481513e+00,1,3.70628690047481513e+00,2026-03-12 01:14:17
J2,1-3,89,0.79882540378443845,0.79942540378443883,3.69864005031267951e+00,1,3.69864005031267951e+00,2026-03-12 01:14:44
J2,1-3,88,0.79822540378443852,0.79882540378443879,3.68033902008737002e+00,1,3.68033902008737002e+00,2026-03-12 01:15:12
J2,1-3,87,0.79762540378443847,0.79822540378443885,3.69829651716344899e+00,1,3.68033902008737002e+00,2026-03-12 01:15:38
J2,1-3,86,0.79702540378443854,0.79762540378443881,3.66141360392458637e+00,1,3.66141360392458637e+00,2026-03-12 01:16:02
J2,1-3,85,0.7964254037844385,0.79702540378443887,3.67676295050079105e+00,1,3.66141360392458637e+00,2026-03-12 01:16:27
J2,1-3,84,0.79582540378443845,0.79642540378443883,3.63621881880179743e+00,1,3.63621881880179743e+00,2026-03-12 01:16:52
J2,1-3,83,0.79522540378443852,0.79582540378443878,3.65603681424368432e+00,1,3.63621881880179743e+00,2026-03-12 01:17:18
J2,1-3,82,0.79462540378443847,0.79522540378443885,4.77980274914006742e+00,1,3.63621881880179743e+00,2026-03-12 01:17:43
J2,1-3,81,0.79402540378443854,0.7946254037844388,4.82360204743003252e+00,1,3.63621881880179743e+00,2026-03-12 01:18:07
J2,1-3,80,0.79342540378443849,0.79402540378443876,4.75892479609846931e+00,1,3.63621881880179743e+00,2026-03-12 01:18:31
J2,1-3,79,0.79282540378443856,0.79342540378443883,4.78158288581061797e+00,1,3.63621881880179743e+00,2026-03-12 01:18:55
J2,1-3,78,0.79222540378443851,0.79282540378443878,4.77391726310729326e+00,1,3.63621881880179743e+00,2026-03-12 01:19:21
J2,1-3,77,0.79162540378443847,0.79222540378443885,4.73696337582979510e+00,1,3.63621881880179743e+00,2026-03-12 01:19:47
J2,1-3,76,0.79102540378443853,0.7916254037844388,4.72811260909880105e+00,1,3.63621881880179743e+00,2026-03-12 01:20:12
J2,1-3,75,0.79042540378443849,0.79102540378443887,4.74655750900513951e+00,1,3.63621881880179743e+00,2026-03-12 01:20:36
J2,1-3,74,0.78982540378443856,0.79042540378443882,4.73588339200260933e+00,1,3.63621881880179743e+00,2026-03-12 01:21:01
J2,1-3,73,0.78922540378443851,0.78982540378443878,4.70019741093658539e+00,1,3.63621881880179743e+00,2026-03-12 01:21:25
J2,1-3,72,0.78862540378443847,0.78922540378443884,4.71700042532602737e+00,1,3.63621881880179743e+00,2026-03-12 01:21:50
J2,1-3,71,0.78802540378443853,0.7886254037844388,4.70560605874781146e+00,1,3.63621881880179743e+00,2026-03-12 01:22:14
J2,1-3,70,0.78742540378443849,0.78802540378443875,4.66986387483382260e+00,1,3.63621881880179743e+00,2026-03-12 01:22:40
J2,1-3,69,0.78682540378443855,0.78742540378443882,4.71325815324983211e+00,1,3.63621881880179743e+00,2026-03-12 01:23:08
J2,1-3,68,0.78622540378443851,0.78682540378443878,4.65253550219969725e+00,1,3.63621881880179743e+00,2026-03-12 01:23:36
J2,1-3,67,0.78562540378443846,0.78622540378443884,4.66673997444642197e+00,1,3.63621881880179743e+00,2026-03-12 01:24:03
J2,1-3,66,0.78502540378443853,0.7856254037844388,4.65772678043137845e+00,1,3.63621881880179743e+00,2026-03-12 01:24:30
J2,1-3,65,0.78442540378443848,0.78502540378443875,4.62478673853300038e+00,1,3.63621881880179743e+00,2026-03-12 01:24:58
J2,1-3,64,0.78382540378443855,0.78442540378443882,4.66103270380004986e+00,1,3.63621881880179743e+00,2026-03-12 01:25:22
