conjecture,step,m,y_lo_inf,y_hi_sup,L_lower,ok,min_so_far,run_timestamp
J1,1-3,200,0.86541540378443815,0.86602540378443871,4.08058922838055516e+00,1,4.08058922838055516e+00,2026-05-03 16:51:12
J1,1-3,199,0.86480540378443815,0.86541540378443915,4.07586468078151931e+00,1,4.07586468078151931e+00,2026-05-03 16:51:56
J1,1-3,198,0.86419540378443815,0.86480540378443915,4.07050228673577763e+00,1,4.07050228673577763e+00,2026-05-03 16:52:41
J1,1-3,197,0.86358540378443815,0.86419540378443915,4.06528971967995467e+00,1,4.06528971967995467e+00,2026-05-03 16:53:27
J1,1-3,196,0.86297540378443816,0.86358540378443915,4.05977154039471699e+00,1,4.05977154039471699e+00,2026-05-03 16:54:13
J1,1-3,195,0.86236540378443816,0.86297540378443915,4.05451040957964715e+00,1,4.05451040957964715e+00,2026-05-03 16:54:59
J1,1-3,194,0.86175540378443816,0.86236540378443916,4.04045095911614460e+00,1,4.04045095911614460e+00,2026-05-03 16:55:45
J1,1-3,193,0.86114540378443827,0.86175540378443916,4.10334299295292126e+00,1,4.04045095911614460e+00,2026-05-03 16:56:30
J1,1-3,192,0.86053540378443827,0.86114540378443905,4.09663969061996269e+00,1,4.04045095911614460e+00,2026-05-03 16:57:16
J1,1-3,191,0.85992540378443827,0.86053540378443905,4.08970777092498317e+00,1,4.04045095911614460e+00,2026-05-03 16:58:01
J1,1-3,190,0.85931540378443827,0.85992540378443905,4.08305614669521511e+00,1,4.04045095911614460e+00,2026-05-03 16:58:47
J1,1-3,189,0.85870540378443827,0.85931540378443905,4.07611799286769738e+00,1,4.04045095911614460e+00,2026-05-03 16:59:32
J1,1-3,188,0.85809540378443827,0.85870540378443905,4.06925957177392839e+00,1,4.04045095911614460e+00,2026-05-03 17:00:17
J1,1-3,187,0.85748540378443827,0.85809540378443905,4.06237794305836353e+00,1,4.04045095911614460e+00,2026-05-03 17:01:02
J1,1-3,186,0.85687540378443827,0.85748540378443905,4.05519924272639365e+00,1,4.04045095911614460e+00,2026-05-03 17:01:47
J1,1-3,185,0.85626540378443827,0.85687540378443905,4.04901307732930604e+00,1,4.04045095911614460e+00,2026-05-03 17:02:32
J1,1-3,184,0.85565540378443827,0.85626540378443905,4.04135514730738521e+00,1,4.04045095911614460e+00,2026-05-03 17:03:17
J1,1-3,183,0.85504540378443827,0.85565540378443905,4.03584288872914954e+00,1,4.03584288872914954e+00,2026-05-03 17:04:02
J1,1-3,182,0.85443540378443827,0.85504540378443905,4.02754856787702664e+00,1,4.02754856787702664e+00,2026-05-03 17:04:47
J1,1-3,181,0.85382540378443827,0.85443540378443905,4.02281962989677488e+00,1,4.02281962989677488e+00,2026-05-03 17:05:32
