conjecture,step,i,j,x_lo_inf,x_hi_sup,y_lo_inf,y_hi_sup,L_lower,ok,min_so_far,run_timestamp
J1,1-2,1,1,0.5,0.51200000000000002,0.86482540378443851,0.86602540378443871,8.28532392971706067e+00,1,8.28532392971706067e+00,2026-03-10 21:08:00
J1,1-2,1,2,0.5,0.51200000000000002,0.86362540378443853,0.86482540378443873,7.69808375195082029e+00,1,7.69808375195082029e+00,2026-03-10 21:08:13
J1,1-2,1,3,0.5,0.51200000000000002,0.86242540378443855,0.86362540378443875,7.29691171873761669e+00,1,7.29691171873761669e+00,2026-03-10 21:08:27
J1,1-2,1,4,0.5,0.51200000000000002,0.86122540378443858,0.86242540378443878,8.20302408540222495e+00,1,7.29691171873761669e+00,2026-03-10 21:08:40
J1,1-2,1,5,0.5,0.51200000000000002,0.8600254037844386,0.8612254037844388,8.56759339674133891e+00,1,7.29691171873761669e+00,2026-03-10 21:08:53
J1,1-2,1,6,0.5,0.51200000000000002,0.85882540378443851,0.86002540378443882,8.91015690842621134e+00,1,7.29691171873761669e+00,2026-03-10 21:09:06
J1,1-2,1,7,0.5,0.51200000000000002,0.85762540378443853,0.85882540378443873,9.43408313935602650e+00,1,7.29691171873761669e+00,2026-03-10 21:09:19
J1,1-2,1,8,0.5,0.51200000000000002,0.85642540378443855,0.85762540378443875,9.93197094057652841e+00,1,7.29691171873761669e+00,2026-03-10 21:09:32
J1,1-2,1,9,0.5,0.51200000000000002,0.85522540378443857,0.85642540378443877,1.03198304462321602e+01,1,7.29691171873761669e+00,2026-03-10 21:09:45
J1,1-2,1,10,0.5,0.51200000000000002,0.85402540378443859,0.85522540378443879,1.05823299821313875e+01,1,7.29691171873761669e+00,2026-03-10 21:09:58
J1,1-2,1,11,0.5,0.51200000000000002,0.8528254037844385,0.85402540378443881,1.09610212175599991e+01,1,7.29691171873761669e+00,2026-03-10 21:10:11
J1,1-2,1,12,0.5,0.51200000000000002,0.85162540378443852,0.85282540378443872,1.12721424100583701e+01,1,7.29691171873761669e+00,2026-03-10 21:10:24
J1,1-2,1,13,0.5,0.51200000000000002,0.85042540378443854,0.85162540378443874,1.14945395764312935e+01,1,7.29691171873761669e+00,2026-03-10 21:10:37
J1,1-2,1,14,0.5,0.51200000000000002,0.84922540378443856,0.85042540378443877,1.16661213016818231e+01,1,7.29691171873761669e+00,2026-03-10 21:10:50
J1,1-2,1,15,0.5,0.51200000000000002,0.84802540378443859,0.84922540378443879,1.19262330225759837e+01,1,7.29691171873761669e+00,2026-03-10 21:11:03
J1,1-2,1,16,0.5,0.51200000000000002,0.8468254037844385,0.84802540378443881,1.18450087822248716e+01,1,7.29691171873761669e+00,2026-03-10 21:11:16
J1,1-2,1,17,0.5,0.51200000000000002,0.84562540378443852,0.84682540378443872,1.19989975561484297e+01,1,7.29691171873761669e+00,2026-03-10 21:11:29
J1,1-2,1,18,0.5,0.51200000000000002,0.84442540378443854,0.84562540378443874,1.21928534565868923e+01,1,7.29691171873761669e+00,2026-03-10 21:11:42
J1,1-2,1,19,0.5,0.51200000000000002,0.84322540378443856,0.84442540378443876,1.23696006394497609e+01,1,7.29691171873761669e+00,2026-03-10 21:11:55
J1,1-2,1,20,0.5,0.51200000000000002,0.84202540378443858,0.84322540378443878,1.25219011534495941e+01,1,7.29691171873761669e+00,2026-03-10 21:12:09
J1,1-2,1,21,0.5,0.51200000000000002,0.8408254037844386,0.8420254037844388,1.27984799854816487e+01,1,7.29691171873761669e+00,2026-03-10 21:12:24
J1,1-2,1,22,0.5,0.51200000000000002,0.83962540378443851,0.84082540378443871,1.29069734702439974e+01,1,7.29691171873761669e+00,2026-03-10 21:12:38
J1,1-2,1,23,0.5,0.51200000000000002,0.83842540378443853,0.83962540378443873,1.30073551678520599e+01,1,7.29691171873761669e+00,2026-03-10 21:12:52
J1,1-2,1,24,0.5,0.51200000000000002,0.83722540378443855,0.83842540378443875,1.30884983928505232e+01,1,7.29691171873761669e+00,2026-03-10 21:13:05
J1,1-2,1,25,0.5,0.51200000000000002,0.83602540378443857,0.83722540378443878,1.31665537951759788e+01,1,7.29691171873761669e+00,2026-03-10 21:13:18
J1,1-2,1,26,0.5,0.51200000000000002,0.8348254037844386,0.8360254037844388,1.32644532007518379e+01,1,7.29691171873761669e+00,2026-03-10 21:13:31
J1,1-2,1,27,0.5,0.51200000000000002,0.83362540378443851,0.83482540378443882,1.33425268050135007e+01,1,7.29691171873761669e+00,2026-03-10 21:13:44
J1,1-2,1,28,0.5,0.51200000000000002,0.83242540378443853,0.83362540378443873,1.34246571975992435e+01,1,7.29691171873761669e+00,2026-03-10 21:13:57
J1,1-2,1,29,0.5,0.51200000000000002,0.83122540378443855,0.83242540378443875,1.35051670952345795e+01,1,7.29691171873761669e+00,2026-03-10 21:14:10
J1,1-2,1,30,0.5,0.51200000000000002,0.83002540378443857,0.83122540378443877,1.35417103916571265e+01,1,7.29691171873761669e+00,2026-03-10 21:14:24
J1,1-2,1,31,0.5,0.51200000000000002,0.82882540378443859,0.83002540378443879,1.36230621616917489e+01,1,7.29691171873761669e+00,2026-03-10 21:14:38
J1,1-2,1,32,0.5,0.51200000000000002,0.8276254037844385,0.82882540378443881,1.36961917287071540e+01,1,7.29691171873761669e+00,2026-03-10 21:14:54
J1,1-2,1,33,0.5,0.51200000000000002,0.82642540378443852,0.82762540378443872,1.37729326371386254e+01,1,7.29691171873761669e+00,2026-03-10 21:15:08
J1,1-2,1,34,0.5,0.51200000000000002,0.82522540378443854,0.82642540378443874,1.38769074761095884e+01,1,7.29691171873761669e+00,2026-03-10 21:15:23
J1,1-2,1,35,0.5,0.51200000000000002,0.82402540378443856,0.82522540378443877,1.39290779091405952e+01,1,7.29691171873761669e+00,2026-03-10 21:15:38
J1,1-2,1,36,0.5,0.51200000000000002,0.82282540378443859,0.82402540378443879,1.40018416657292236e+01,1,7.29691171873761669e+00,2026-03-10 21:15:52
J1,1-2,1,37,0.5,0.51200000000000002,0.8216254037844385,0.82282540378443881,1.40105538152325906e+01,1,7.29691171873761669e+00,2026-03-10 21:16:06
J1,1-2,1,38,0.5,0.51200000000000002,0.82042540378443852,0.82162540378443872,1.40624549975572802e+01,1,7.29691171873761669e+00,2026-03-10 21:16:19
J1,1-2,1,39,0.5,0.51200000000000002,0.81922540378443854,0.82042540378443874,1.41464881376730905e+01,1,7.29691171873761669e+00,2026-03-10 21:16:32
J1,1-2,1,40,0.5,0.51200000000000002,0.81802540378443856,0.81922540378443876,1.42069533355079365e+01,1,7.29691171873761669e+00,2026-03-10 21:16:46
J1,1-2,1,41,0.5,0.51200000000000002,0.81682540378443858,0.81802540378443878,1.42613090946065402e+01,1,7.29691171873761669e+00,2026-03-10 21:16:59
J1,1-2,1,42,0.5,0.51200000000000002,0.8156254037844386,0.8168254037844388,1.43367816567393849e+01,1,7.29691171873761669e+00,2026-03-10 21:17:12
J1,1-2,1,43,0.5,0.51200000000000002,0.81442540378443851,0.81562540378443871,1.43444579913405371e+01,1,7.29691171873761669e+00,2026-03-10 21:17:26
J1,1-2,1,44,0.5,0.51200000000000002,0.81322540378443853,0.81442540378443873,1.44226426615356421e+01,1,7.29691171873761669e+00,2026-03-10 21:17:39
J1,1-2,1,45,0.5,0.51200000000000002,0.81202540378443855,0.81322540378443875,1.44694020711663374e+01,1,7.29691171873761669e+00,2026-03-10 21:17:53
J1,1-2,1,46,0.5,0.51200000000000002,0.81082540378443857,0.81202540378443878,1.45219117376533973e+01,1,7.29691171873761669e+00,2026-03-10 21:18:06
J1,1-2,1,47,0.5,0.51200000000000002,0.8096254037844386,0.8108254037844388,1.45872420831645365e+01,1,7.29691171873761669e+00,2026-03-10 21:18:20
J1,1-2,1,48,0.5,0.51200000000000002,0.80842540378443851,0.80962540378443871,1.45872809823997774e+01,1,7.29691171873761669e+00,2026-03-10 21:18:33
J1,1-2,1,49,0.5,0.51200000000000002,0.80722540378443853,0.80842540378443873,1.46639516739495015e+01,1,7.29691171873761669e+00,2026-03-10 21:18:45
