conjecture,step,i,j,x_lo_inf,x_hi_sup,y_lo_inf,y_hi_sup,L_lower,ok,min_so_far,run_timestamp
J2,1-2,1,1,0.5,0.51200000000000002,0.86482540378443851,0.86602540378443871,1.03124595683208096e+01,1,1.03124595683208096e+01,2026-03-11 16:27:04
J2,1-2,1,2,0.5,0.51200000000000002,0.86362540378443853,0.86482540378443873,1.03411522838401809e+01,1,1.03124595683208096e+01,2026-03-11 16:27:26
J2,1-2,1,3,0.5,0.51200000000000002,0.86242540378443855,0.86362540378443875,1.03730250336166599e+01,1,1.03124595683208096e+01,2026-03-11 16:27:48
J2,1-2,1,4,0.5,0.51200000000000002,0.86122540378443858,0.86242540378443878,1.04016675652386433e+01,1,1.03124595683208096e+01,2026-03-11 16:28:09
J2,1-2,1,5,0.5,0.51200000000000002,0.8600254037844386,0.8612254037844388,1.04277054070837565e+01,1,1.03124595683208096e+01,2026-03-11 16:28:29
J2,1-2,1,6,0.5,0.51200000000000002,0.85882540378443851,0.86002540378443882,1.04598755156106034e+01,1,1.03124595683208096e+01,2026-03-11 16:28:51
J2,1-2,1,7,0.5,0.51200000000000002,0.85762540378443853,0.85882540378443873,1.04890084603630314e+01,1,1.03124595683208096e+01,2026-03-11 16:29:11
J2,1-2,1,8,0.5,0.51200000000000002,0.85642540378443855,0.85762540378443875,1.05159099086444546e+01,1,1.03124595683208096e+01,2026-03-11 16:29:32
J2,1-2,1,9,0.5,0.51200000000000002,0.85522540378443857,0.85642540378443877,1.05453875802451585e+01,1,1.03124595683208096e+01,2026-03-11 16:29:53
J2,1-2,1,10,0.5,0.51200000000000002,0.85402540378443859,0.85522540378443879,1.05777629969413969e+01,1,1.03124595683208096e+01,2026-03-11 16:30:15
J2,1-2,1,11,0.5,0.51200000000000002,0.8528254037844385,0.85402540378443881,1.06048313214427719e+01,1,1.03124595683208096e+01,2026-03-11 16:30:36
J2,1-2,1,12,0.5,0.51200000000000002,0.85162540378443852,0.85282540378443872,1.06380712149555717e+01,1,1.03124595683208096e+01,2026-03-11 16:30:56
